,text,anger,fear,anticipation,trust,surprise,sadness,joy,disgust
0,"Point number one: When you hear someone longing
for the “good old days,” take it with a grain of salt",0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
1, Take it with a grain of salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2," We live in a great nation and we are rightly
proud of our history",0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0
3," We are beneficiaries of the labor and the
grit and the courage of generations who came before",0.0,0.0,0.125,0.25,0.125,0.0,0.125,0.0
4," But I guess it’s part of human nature, especially
in times of change and uncertainty, to want to look backwards and long for some imaginary
past when everything worked, and the economy hummed, and all politicians were wise, and
every child was well-mannered, and America pretty much did whatever it wanted around
the world",0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142
5, Guess what,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6, It ain’t so,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7, The “good old days” weren’t that good,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0
8," Yes, there have been some stretches in our
history where the economy grew much faster, or when government ran more smoothly",0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
9," There were moments when, immediately after
World War II, for example, or the end of the Cold War, when the world bent more easily
to our will",0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
10," But those are sporadic, those moments, those
episodes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11," In fact, by almost every measure, America
is better, and the world is better, than it was 50 years ago, or 30 years ago, or even
eight years ago",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12," And by the way, I’m not — set aside 150
years ago, pre-Civil War — there’s a whole bunch of stuff there we could talk about",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13," Set aside life in the ‘50s, when women and
people of color were systematically excluded from big chunks of American life",0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
14," Since I graduated, in 1983 — which isn’t
that long ago — I’m just saying",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15," Since I graduated, crime rates, teenage pregnancy,
the share of Americans living in poverty — they’re all down",0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
16," The share of Americans with college educations
have gone way up",0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0
17," Our life expectancy has, as well",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18," Blacks and Latinos have risen up the ranks
in business and politics",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19, More women are in the workforce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
